States,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total Average of Startup Density
Arizona,339.7,265.6,313.5,292.7,268.2,278.2,261.3,301.8,303.9,300.7,292.1,247.5,228,218,222.1,213.9,207.7,223,224.5,216,217.3,206.7,200.8,186.4,178.2,181.2,183.8,188.2,200,220.3,205.1,183.6,140.3,129.8,132.1,127.5,,,224.99166666666667
Phoenix,339.7,265.6,313.5,292.7,268.2,278.2,261.3,301.8,303.9,300.7,292.1,247.5,228,218,222.1,213.9,207.7,223,224.5,216,217.3,206.7,200.8,186.4,178.2,181.2,183.8,188.2,200,220.3,205.1,183.6,140.3,129.8,132.1,127.5,,,224.99166666666667
Colorado,374,293.5,332.5,315.2,288.9,300.6,276.1,314.5,310,294.6,290.2,260.1,254.8,251.6,267.9,262.5,272,289.9,290.5,272.4,280,267.1,251.5,245.2,247.6,244.2,248.1,248.4,256,251,236.4,223.9,186.7,181.6,176,177.8,,,264.8138888888888
Florida,279.75,254.5,239,239.075,226.5,232.025,230.85,255.825,261.225,267.95,276.875,246.125,232.15,228,229.9,237.7,237.35,240.325,228.4,225.85,222.525,218.7,218.975,210.225,215.625,239.55,252.95,290.2,285.725,283.7,260.375,229.975,189.125,185.725,192.425,193.675,0,0,237.74583333333334
Georgia,294,262.7,241.8,230.2,219.1,226,227.9,257.3,279.3,283,280.8,253,243,227.4,231.9,241,246.6,256.2,258.2,256.2,251.7,249.9,239.1,226,212.4,224.1,221,228.3,233.2,237.4,230.5,206.9,162.6,151.7,155,154.5,,,233.33055555555552
Missouri-Illinois,344.6,327.8,305,276.7,248,249.3,248.7,290.9,271.5,284.6,289.7,257.6,205.6,295.1,257,262.1,256.2,260.9,259.7,259.9,255.4,250.6,236.2,227.4,213.8,214.9,215.6,223.6,239.1,252.7,239.9,224.2,171.2,159.9,169.6,167.9,,,247.58055555555552
Nevada,341.8,268.3,335.1,303.7,263.2,255.6,224.8,262.4,232.9,246.1,261,231.2,249.5,245.1,231.5,216.5,221.6,231.7,235.6,227.4,240.6,238.1,233.1,226.3,209.5,222.1,232.6,234.3,246.3,245,226.5,206.6,165.8,156.7,161.1,158.3,,,235.775
New York-New Jersey-Pennsylvania,254.1,219.5,217,210.3,201,211.2,211.5,223.4,238.3,250.4,260.4,240.9,229.8,215.1,207.5,201.1,208.8,212.1,223.5,228.1,234.9,230,213.9,209.2,202.2,211.2,217.2,223.1,231.7,232.5,220.1,215.7,191.7,190.1,195.9,197.3,,,218.90833333333333
North Carolina-South Carolina,263.2,246.3,230.8,204.5,189.1,194.3,170.5,259.1,250.3,250.3,257.1,241.9,242.4,234.7,216.1,197.2,206.2,215.1,227.6,233,239.9,239.2,233.6,206.4,209.1,197.7,194.8,206.3,216.3,216.5,206.3,189.4,144.4,150.7,145,150.6,,,213.2194444444444
Oregon-Washington,344.9,320,290.2,275.6,250.6,238.3,221.7,269.2,258.1,268.8,279.7,243.7,200.2,261.8,242.2,235.3,245.3,272.2,271.8,262.3,250.8,247.4,228.9,208.3,195.3,209.4,211.1,216.6,232.2,248.6,228.5,214,164.5,162.5,166.4,165.8,,,238.95
Washington,334.7,284.8,285.2,287.9,254.5,251.4,224.4,229.2,239,239.2,246,233,218.5,216.6,208.5,202.8,199.2,206.5,213.6,225.2,225.5,226.8,215.6,224.2,220.4,190.4,189.7,195.6,203.4,217.4,198.7,182,154,145.5,161.6,168.3,,,219.98055555555553
Grand Total,308.46153846153845,269.7307692307693,269.7769230769231,257.9307692307692,237.58461538461538,241,230.02307692307693,263.9307692307692,263.7076923076923,268.4230769230769,274.1923076923077,245.64615384615382,230.8,236.72307692307692,231.1,229.47692307692307,231.76923076923075,240.68461538461537,239.89230769230767,237.22307692307692,237.4,233.12307692307698,225.27692307692303,215.40769230769232,211.61538461538464,219.4923076923077,225.05384615384614,240.4,246.23846153846154,250.47692307692307,233.34615384615384,212.78461538461534,172.1307692307692,167.0307692307692,171.72307692307692,172.5153846153846,0,0,234.5025641025641